Fecha;ID;NOME;CASOS_14_DIAS;NIVEL_14_DIAS
;34123232084;VEREA; entre 1 e 9;Incidencia acumulada para o concello: >500
;34123232085;VERIN; 22;Incidencia acumulada para o concello: >150 e <=250
;34123232086;VIANA DO BOLO;0;Incidencia acumulada para o concello: <=25
;34123232087;VILAMARIN; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232088;VILAMARTIN DE VALDEORRAS; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34123232089;VILAR DE BARRIO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232090;VILAR DE SANTOS;0;Incidencia acumulada para o concello: <=25
;34123232091;VILARDEVOS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123232092;VILARIÑO DE CONSO;0;Incidencia acumulada para o concello: <=25
;34123636001;ARBO; entre 1 e 9;Incidencia acumulada para o concello: >150 e <=250
;34123636002;BARRO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636003;BAIONA; 10;Incidencia acumulada para o concello: >50 e <=150
;34123636004;BUEU; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636005;CALDAS DE REIS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636006;CAMBADOS; 31;Incidencia acumulada para o concello: >150 e <=250
;34123636007;CAMPO LAMEIRO;0;Incidencia acumulada para o concello: <=25
;34123636008;CANGAS; 47;Incidencia acumulada para o concello: >150 e <=250
;34123636009;CAÑIZA (A);0;Incidencia acumulada para o concello: <=25
;34123636010;CATOIRA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636013;COVELO (O);0;Incidencia acumulada para o concello: <=25
;34123636014;CRECENTE;0;Incidencia acumulada para o concello: <=25
;34123636015;CUNTIS;0;Incidencia acumulada para o concello: <=25
;34123636016;DOZON;0;Incidencia acumulada para o concello: <=25
;34123636017;ESTRADA A; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34123636018;FORCAREI;0;Incidencia acumulada para o concello: <=25
;34123636019;FORNELOS DE MONTES;0;Incidencia acumulada para o concello: <=25
;34123636020;AGOLADA;0;Incidencia acumulada para o concello: <=25
;34123636021;GONDOMAR; 35;Incidencia acumulada para o concello: >150 e <=250
;34123636022;GROVE O; 25;Incidencia acumulada para o concello: >150 e <=250
;34123636023;GUARDA (A); entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636024;LALIN; 26;Incidencia acumulada para o concello: >50 e <=150
;34123636025;LAMA A;0;Incidencia acumulada para o concello: <=25
;34123636026;MARIN; 98;Incidencia acumulada para o concello: >250 e <=500
;34123636027;MEAÑO; 13;Incidencia acumulada para o concello: >150 e <=250
;34123636028;MEIS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636029;MOAÑA; 16;Incidencia acumulada para o concello: >50 e <=150
;34123636030;MONDARIZ;0;Incidencia acumulada para o concello: <=25
;34123636031;MONDARIZ-BALNEARIO;0;Incidencia acumulada para o concello: <=25
;34123636032;MORAÑA; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34123636033;MOS; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636034;NEVES (AS); entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636035;NIGRAN; 26;Incidencia acumulada para o concello: >50 e <=150
;34123636036;OIA;0;Incidencia acumulada para o concello: <=25
;34123636037;PAZOS DE BORBEN; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636038;PONTEVEDRA; 75;Incidencia acumulada para o concello: >50 e <=150
;34123636039;PORRIÑO (O); 21;Incidencia acumulada para o concello: >50 e <=150
;34123636040;PORTAS;0;Incidencia acumulada para o concello: <=25
;34123636041;POIO; 22;Incidencia acumulada para o concello: >50 e <=150
;34123636042;PONTEAREAS; 45;Incidencia acumulada para o concello: >150 e <=250
;34123636043;PONTE-CALDELAS; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34123636044;PONTECESURES;0;Incidencia acumulada para o concello: <=25
;34123636045;REDONDELA; 20;Incidencia acumulada para o concello: >50 e <=150
;34123636046;RIBADUMIA; 11;Incidencia acumulada para o concello: >150 e <=250
;34123636047;RODEIRO;0;Incidencia acumulada para o concello: <=25
;34123636048;ROSAL (O); entre 1 e 9;Incidencia acumulada para o concello: <=25
;34123636049;SALCEDA DE CASELAS; 18;Incidencia acumulada para o concello: >150 e <=250
;34123636050;SALVATERRA DE MIÑO; entre 1 e 9;Incidencia acumulada para o concello: <=25
;34123636051;SANXENXO; 18;Incidencia acumulada para o concello: >50 e <=150
;34123636052;SILLEDA; 12;Incidencia acumulada para o concello: >50 e <=150
;34123636053;SOUTOMAIOR; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636054;TOMIÑO; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636055;TUI; 35;Incidencia acumulada para o concello: >150 e <=250
;34123636056;VALGA;0;Incidencia acumulada para o concello: <=25
;34123636057;VIGO; 510;Incidencia acumulada para o concello: >150 e <=250
;34123636058;VILABOA; entre 1 e 9;Incidencia acumulada para o concello: >25 e <=50
;34123636059;VILA DE CRUCES; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636060;VILAGARCIA DE AROUSA; 57;Incidencia acumulada para o concello: >150 e <=250
;34123636061;VILANOVA DE AROUSA; 38;Incidencia acumulada para o concello: >250 e <=500
;34123636901;ILLA DE AROUSA; entre 1 e 9;Incidencia acumulada para o concello: >50 e <=150
;34123636902;CERDEDO-COTOBADE; entre 1 e 9;Incidencia acumulada para o concello: <=25
